Minimal Mean Sentence Length;Occurrences;Min Number of Speakers;Max Number of Speakers;generated_filenames;trial;num_of_outcomes
10;0;0;4;gen27.txt;1;14
10;0;0;4;gen18.txt;1;14
10;0;0;4;gen34.txt;1;14
10;0;0;4;gen80.txt;1;14
10;0;0;4;gen8.txt;1;14
10;0;0;4;gen54.txt;1;14
10;0;0;4;gen97.txt;1;14
10;0;0;4;gen65.txt;1;14
10;0;0;4;gen89.txt;1;14
10;0;0;4;gen63.txt;1;14
10;0;0;4;gen48.txt;1;14
10;0;0;4;gen38.txt;1;14
10;0;0;4;gen29.txt;1;14
10;0;0;4;gen17.txt;1;14
11;0;0;4;gen27.txt;2;4
11;0;0;4;gen65.txt;2;4
11;0;0;4;gen38.txt;2;4
11;0;0;4;gen29.txt;2;4
12;0;0;4;gen27.txt;3;1
10;0;0;10;gen27.txt;4;14
10;0;0;10;gen18.txt;4;14
10;0;0;10;gen34.txt;4;14
10;0;0;10;gen80.txt;4;14
10;0;0;10;gen8.txt;4;14
10;0;0;10;gen54.txt;4;14
10;0;0;10;gen97.txt;4;14
10;0;0;10;gen65.txt;4;14
10;0;0;10;gen89.txt;4;14
10;0;0;10;gen63.txt;4;14
10;0;0;10;gen48.txt;4;14
10;0;0;10;gen38.txt;4;14
10;0;0;10;gen29.txt;4;14
10;0;0;10;gen17.txt;4;14
10;0;0;5;gen27.txt;5;14
10;0;0;5;gen18.txt;5;14
10;0;0;5;gen34.txt;5;14
10;0;0;5;gen80.txt;5;14
10;0;0;5;gen8.txt;5;14
10;0;0;5;gen54.txt;5;14
10;0;0;5;gen97.txt;5;14
10;0;0;5;gen65.txt;5;14
10;0;0;5;gen89.txt;5;14
10;0;0;5;gen63.txt;5;14
10;0;0;5;gen48.txt;5;14
10;0;0;5;gen38.txt;5;14
10;0;0;5;gen29.txt;5;14
10;0;0;5;gen17.txt;5;14
10;0;0;6;gen27.txt;6;14
10;0;0;6;gen18.txt;6;14
10;0;0;6;gen34.txt;6;14
10;0;0;6;gen80.txt;6;14
10;0;0;6;gen8.txt;6;14
10;0;0;6;gen54.txt;6;14
10;0;0;6;gen97.txt;6;14
10;0;0;6;gen65.txt;6;14
10;0;0;6;gen89.txt;6;14
10;0;0;6;gen63.txt;6;14
10;0;0;6;gen48.txt;6;14
10;0;0;6;gen38.txt;6;14
10;0;0;6;gen29.txt;6;14
10;0;0;6;gen17.txt;6;14
10;1;0;4;gen26.txt;7;66
10;1;0;4;gen32.txt;7;66
10;1;0;4;gen33.txt;7;66
10;1;0;4;gen31.txt;7;66
10;1;0;4;gen25.txt;7;66
10;1;0;4;gen19.txt;7;66
10;1;0;4;gen24.txt;7;66
10;1;0;4;gen30.txt;7;66
10;1;0;4;gen20.txt;7;66
10;1;0;4;gen21.txt;7;66
10;1;0;4;gen35.txt;7;66
10;1;0;4;gen36.txt;7;66
10;1;0;4;gen87.txt;7;66
10;1;0;4;gen52.txt;7;66
10;1;0;4;gen91.txt;7;66
10;1;0;4;gen90.txt;7;66
10;1;0;4;gen47.txt;7;66
10;1;0;4;gen57.txt;7;66
10;1;0;4;gen43.txt;7;66
10;1;0;4;gen94.txt;7;66
10;1;0;4;gen81.txt;7;66
10;1;0;4;gen95.txt;7;66
10;1;0;4;gen42.txt;7;66
10;1;0;4;gen56.txt;7;66
10;1;0;4;gen68.txt;7;66
10;1;0;4;gen40.txt;7;66
10;1;0;4;gen83.txt;7;66
10;1;0;4;gen96.txt;7;66
10;1;0;4;gen82.txt;7;66
10;1;0;4;gen41.txt;7;66
10;1;0;4;gen9.txt;7;66
10;1;0;4;gen69.txt;7;66
10;1;0;4;gen4.txt;7;66
10;1;0;4;gen64.txt;7;66
10;1;0;4;gen70.txt;7;66
10;1;0;4;gen58.txt;7;66
10;1;0;4;gen59.txt;7;66
10;1;0;4;gen71.txt;7;66
10;1;0;4;gen5.txt;7;66
10;1;0;4;gen73.txt;7;66
10;1;0;4;gen67.txt;7;66
10;1;0;4;gen7.txt;7;66
10;1;0;4;gen66.txt;7;66
10;1;0;4;gen6.txt;7;66
10;1;0;4;gen72.txt;7;66
10;1;0;4;gen76.txt;7;66
10;1;0;4;gen2.txt;7;66
10;1;0;4;gen62.txt;7;66
10;1;0;4;gen88.txt;7;66
10;1;0;4;gen3.txt;7;66
10;1;0;4;gen77.txt;7;66
10;1;0;4;gen49.txt;7;66
10;1;0;4;gen61.txt;7;66
10;1;0;4;gen1.txt;7;66
10;1;0;4;gen75.txt;7;66
10;1;0;4;gen74.txt;7;66
10;1;0;4;gen60.txt;7;66
10;1;0;4;gen0.txt;7;66
10;1;0;4;gen13.txt;7;66
10;1;0;4;gen10.txt;7;66
10;1;0;4;gen39.txt;7;66
10;1;0;4;gen11.txt;7;66
10;1;0;4;gen15.txt;7;66
10;1;0;4;gen14.txt;7;66
10;1;0;4;gen28.txt;7;66
10;1;0;4;gen16.txt;7;66
10;1;2;4;gen33.txt;8;96
10;1;2;4;gen25.txt;8;96
10;1;2;4;gen21.txt;8;96
10;1;2;4;gen36.txt;8;96
10;1;2;4;gen91.txt;8;96
10;1;2;4;gen43.txt;8;96
10;1;2;4;gen81.txt;8;96
10;1;2;4;gen95.txt;8;96
10;1;2;4;gen42.txt;8;96
10;1;2;4;gen56.txt;8;96
10;1;2;4;gen96.txt;8;96
10;1;2;4;gen4.txt;8;96
10;1;2;4;gen64.txt;8;96
10;1;2;4;gen58.txt;8;96
10;1;2;4;gen59.txt;8;96
10;1;2;4;gen71.txt;8;96
10;1;2;4;gen73.txt;8;96
10;1;2;4;gen67.txt;8;96
10;1;2;4;gen7.txt;8;96
10;1;2;4;gen6.txt;8;96
10;1;2;4;gen72.txt;8;96
10;1;2;4;gen2.txt;8;96
10;1;2;4;gen61.txt;8;96
10;1;2;4;gen74.txt;8;96
10;1;2;4;gen60.txt;8;96
10;1;2;4;gen0.txt;8;96
10;1;2;4;gen39.txt;8;96
10;1;2;4;gen15.txt;8;96
10;1;2;4;gen14.txt;8;96
10;1;2;4;gen16.txt;8;96
10;1;0;4;gen26.txt;8;96
10;1;0;4;gen32.txt;8;96
10;1;0;4;gen33.txt;8;96
10;1;0;4;gen31.txt;8;96
10;1;0;4;gen25.txt;8;96
10;1;0;4;gen19.txt;8;96
10;1;0;4;gen24.txt;8;96
10;1;0;4;gen30.txt;8;96
10;1;0;4;gen20.txt;8;96
10;1;0;4;gen21.txt;8;96
10;1;0;4;gen35.txt;8;96
10;1;0;4;gen36.txt;8;96
10;1;0;4;gen87.txt;8;96
10;1;0;4;gen52.txt;8;96
10;1;0;4;gen91.txt;8;96
10;1;0;4;gen90.txt;8;96
10;1;0;4;gen47.txt;8;96
10;1;0;4;gen57.txt;8;96
10;1;0;4;gen43.txt;8;96
10;1;0;4;gen94.txt;8;96
10;1;0;4;gen81.txt;8;96
10;1;0;4;gen95.txt;8;96
10;1;0;4;gen42.txt;8;96
10;1;0;4;gen56.txt;8;96
10;1;0;4;gen68.txt;8;96
10;1;0;4;gen40.txt;8;96
10;1;0;4;gen83.txt;8;96
10;1;0;4;gen96.txt;8;96
10;1;0;4;gen82.txt;8;96
10;1;0;4;gen41.txt;8;96
10;1;0;4;gen9.txt;8;96
10;1;0;4;gen69.txt;8;96
10;1;0;4;gen4.txt;8;96
10;1;0;4;gen64.txt;8;96
10;1;0;4;gen70.txt;8;96
10;1;0;4;gen58.txt;8;96
10;1;0;4;gen59.txt;8;96
10;1;0;4;gen71.txt;8;96
10;1;0;4;gen5.txt;8;96
10;1;0;4;gen73.txt;8;96
10;1;0;4;gen67.txt;8;96
10;1;0;4;gen7.txt;8;96
10;1;0;4;gen66.txt;8;96
10;1;0;4;gen6.txt;8;96
10;1;0;4;gen72.txt;8;96
10;1;0;4;gen76.txt;8;96
10;1;0;4;gen2.txt;8;96
10;1;0;4;gen62.txt;8;96
10;1;0;4;gen88.txt;8;96
10;1;0;4;gen3.txt;8;96
10;1;0;4;gen77.txt;8;96
10;1;0;4;gen49.txt;8;96
10;1;0;4;gen61.txt;8;96
10;1;0;4;gen1.txt;8;96
10;1;0;4;gen75.txt;8;96
10;1;0;4;gen74.txt;8;96
10;1;0;4;gen60.txt;8;96
10;1;0;4;gen0.txt;8;96
10;1;0;4;gen13.txt;8;96
10;1;0;4;gen10.txt;8;96
10;1;0;4;gen39.txt;8;96
10;1;0;4;gen11.txt;8;96
10;1;0;4;gen15.txt;8;96
10;1;0;4;gen14.txt;8;96
10;1;0;4;gen28.txt;8;96
10;1;0;4;gen16.txt;8;96
10;1;0;3;gen26.txt;9;36
10;1;0;3;gen32.txt;9;36
10;1;0;3;gen31.txt;9;36
10;1;0;3;gen19.txt;9;36
10;1;0;3;gen24.txt;9;36
10;1;0;3;gen30.txt;9;36
10;1;0;3;gen20.txt;9;36
10;1;0;3;gen35.txt;9;36
10;1;0;3;gen87.txt;9;36
10;1;0;3;gen52.txt;9;36
10;1;0;3;gen90.txt;9;36
10;1;0;3;gen47.txt;9;36
10;1;0;3;gen57.txt;9;36
10;1;0;3;gen94.txt;9;36
10;1;0;3;gen68.txt;9;36
10;1;0;3;gen40.txt;9;36
10;1;0;3;gen83.txt;9;36
10;1;0;3;gen82.txt;9;36
10;1;0;3;gen41.txt;9;36
10;1;0;3;gen9.txt;9;36
10;1;0;3;gen69.txt;9;36
10;1;0;3;gen70.txt;9;36
10;1;0;3;gen5.txt;9;36
10;1;0;3;gen66.txt;9;36
10;1;0;3;gen76.txt;9;36
10;1;0;3;gen62.txt;9;36
10;1;0;3;gen88.txt;9;36
10;1;0;3;gen3.txt;9;36
10;1;0;3;gen77.txt;9;36
10;1;0;3;gen49.txt;9;36
10;1;0;3;gen1.txt;9;36
10;1;0;3;gen75.txt;9;36
10;1;0;3;gen13.txt;9;36
10;1;0;3;gen10.txt;9;36
10;1;0;3;gen11.txt;9;36
10;1;0;3;gen28.txt;9;36
10;1;0;2;gen31.txt;10;3
10;1;0;2;gen9.txt;10;3
10;1;0;2;gen77.txt;10;3